property_name,reviewer,date,stars,heading,review
Joy 98,Aritra,06/07/2013,5,Dum Dum Chiriamore.,?
Ananya,Guest User,19/11/2020,5,Nice project.,"It is a great and modern residential project for living with lots of amenities. Available amenities like clubhouse, banquet hall, reserved parking, and more. Metro station and railway station very close to here."
Ananya,Guest User,19/11/2020,5,Nice project.,"A well maintained residential project. Available amenities like gymnasium, multipurpose court, swimming pool, and many more. All basic civic amenities available here. E M bypass is very nearby."
Ananya,Guest User,19/11/2020,5,Nice project.,"It is a great and modern residential project for living with lots of amenities. Available amenities like clubhouse, banquet hall, reserved parking, and more. Metro station and railway station very close to here."
Ananya,Guest User,19/11/2020,5,Nice project.,"A well maintained residential project. Available amenities like gymnasium, multipurpose court, swimming pool, and many more. All basic civic amenities available here. E M bypass is very nearby."
Ananya,,03/05/2020,5,Rajpur,?
HIJIBIJI,Soumen,10/07/2014,5,Rajarhat.,?
Meena Fortuna,Paritosh ,?,0,New Town.,?
Meena Icon,Amalendu,14/06/2011,0,Review Of Sodepur,?
Orchard Avaasa,Himadri Biswas,21/05/2019,5,Excellent locality the upcoming new town of Bengal with all modern facilities. ,?
Golden Heights,Tania Ghosh,30/04/2019,4,Sonarpur.,?
Siddha Happy Ville,Guest User,02/06/2021,4,Nice project.,Nice project with all the top facilities. Feels like some foreign city inside here. Nice location to live peacefully. Great ambiance. No sound from outside. Good building structure.
Siddha Happy Ville,Guest User,26/12/2020,4,Nice project.,Siddha Happy Ville is good Locality. Good Project nice amenities available. Good Construction
Siddha Happy Ville,Guest User,02/06/2021,4,Nice project.,Nice project with all the top facilities. Feels like some foreign city inside here. Nice location to live peacefully. Great ambiance. No sound from outside. Good building structure.
Siddha Happy Ville,Guest User,26/12/2020,4,Nice project.,Siddha Happy Ville is good Locality. Good Project nice amenities available. Good Construction
Siddha Happy Ville,Guest User,19/12/2020,4,Good project.,"All amenities are available in the project and, roads are good and hospitals, schools are nearby. It is a good project good security good lift. The best amenities are here."
Siddha Happy Ville,Suvagata,21/08/2020,5,Premium Housing at Rajarhat,Siddha Happyville is a premium housing project launched by Siddha Group in Rajarhat Kolkata These 2 and 3BHK Apartment in Kolkata North are available from 1125 sq-ft to 1445 sq-ft Among the many luxurious. The project is well connected by various modes of transportation  All public transport service... Read More
Siddha Happy Ville,Abhijit,28/03/2015,5,Rajarhat.,?
The 64 Earth Point,A K,12/12/2013,4,Liluah.,?
Retreat at Godrej Prakriti,Srabani,19/04/2013,0,Review Of B.T.Road,?
The Lake Paradise,Aryan,14/03/2014,3,Barasat is the posh area of Kolkata.,?
Vinayak Vista,Raj Pal ,29/09/2015,4,Lake Town.,?
Swapno Puron,Guest User,09/03/2021,1,Nice project.,Very poor administration for that procession date must slip extra 3 to 5 years. This project not applicable Prodhan Montri Abas Jojona Urban. Srijan cheated to all customer during selling.
Swapno Puron,Guest User,09/03/2021,1,PMAJ Urban not applicable as it is rural project.,Wrong information and miscommunication by builders about PMAJ and procession date. I was purchased my flat in 2018 but till now they ware failure to handover me due to incomplete project . I think they will hand over me after 2030 . Very poor administration by leander.
Swapno Puron,Guest User,09/03/2021,1,Nice project.,Very poor administration for that procession date must slip extra 3 to 5 years. This project not applicable Prodhan Montri Abas Jojona Urban. Srijan cheated to all customer during selling.
Swapno Puron,Guest User,09/03/2021,1,PMAJ Urban not applicable as it is rural project.,Wrong information and miscommunication by builders about PMAJ and procession date. I was purchased my flat in 2018 but till now they ware failure to handover me due to incomplete project . I think they will hand over me after 2030 . Very poor administration by leander.
Swapno Puron,Guest User,09/03/2021,1,PMAJ Urban mu-me-dalo as it is rural project at chandi gram panchayat.,Faltu project. 3 years already late to procession time. Very poor administration. It will may completed in 2050.
Swapno Puron,Guest User,03/12/2020,5,Nice project.,A great located residential project with lots of amenities. The conveniently located within stones throws distance a from market and more. The project offers reserved parking.
Swapno Puron,Ajit,20/08/2014,4,Amtala.,?
Shovona Heights,Kalipada,13/01/2013,0,Review Of Dum Dum,?
Kshetrum Aspire,Guest User,30/04/2021,5,Beautiful project.,Kshetrum Aspire is developed by Kshetrum Group. Kshetrum Aspire has 2 beautiful towers and each tower is G+9 Storeyed apartments.
Kshetrum Aspire,Guest User,30/04/2021,5,Beautiful project.,Kshetrum Aspire is developed by Kshetrum Group. Kshetrum Aspire has 2 beautiful towers and each tower is G+9 Storeyed apartments.
Kshetrum Aspire,CAPT SHANTANU BHATTACHARYA,06/02/2019,4,Behala Chowrasta.,?
Rameswara Riverview,Bipin Kumar ,27/04/2013,0,Review Of Barrackpore,?
Balaji Residency,Ranjit,05/07/2011,0,Review Of Howrah,?
Southwinds,Guest User,16/08/2020,5,Southwinds,"Southwinds situated in Rajpur, Southern Bypass is a 2-3 BHK fully integrated residential complex by Primarc as the lead developer in association with Srijan & Riya as co-developers. The project houses Zing- a 30,000 sqft, plush, residential club with state-of-the-art dining, recreational & wellness ... Read More"
Southwinds,Guest User,16/08/2020,5,Southwinds,"Southwinds situated in Rajpur, Southern Bypass is a 2-3 BHK fully integrated residential complex by Primarc as the lead developer in association with Srijan & Riya as co-developers. The project houses Zing- a 30,000 sqft, plush, residential club with state-of-the-art dining, recreational & wellness ... Read More"
Southwinds,dpsrealtygroup,21/05/2013,3,Excellent location for investment.,?
Siddha Happy Ville,Guest User,02/06/2021,4,Nice project.,Nice project with all the top facilities. Feels like some foreign city inside here. Nice location to live peacefully. Great ambiance. No sound from outside. Good building structure.
Siddha Happy Ville,Guest User,26/12/2020,4,Nice project.,Siddha Happy Ville is good Locality. Good Project nice amenities available. Good Construction
Siddha Happy Ville,Guest User,02/06/2021,4,Nice project.,Nice project with all the top facilities. Feels like some foreign city inside here. Nice location to live peacefully. Great ambiance. No sound from outside. Good building structure.
Siddha Happy Ville,Guest User,26/12/2020,4,Nice project.,Siddha Happy Ville is good Locality. Good Project nice amenities available. Good Construction
Siddha Happy Ville,Guest User,19/12/2020,4,Good project.,"All amenities are available in the project and, roads are good and hospitals, schools are nearby. It is a good project good security good lift. The best amenities are here."
Siddha Happy Ville,Suvagata,21/08/2020,5,Premium Housing at Rajarhat,Siddha Happyville is a premium housing project launched by Siddha Group in Rajarhat Kolkata These 2 and 3BHK Apartment in Kolkata North are available from 1125 sq-ft to 1445 sq-ft Among the many luxurious. The project is well connected by various modes of transportation  All public transport service... Read More
Siddha Happy Ville,Abhijit,28/03/2015,5,Rajarhat.,?
Amaya Residences,Guest User,03/12/2020,4,Good project.,"The project is located in Narendrapur. All facilities are available like Hospitals, Schools, Banks, Parking space, Good security, and near this project. The project offers maximum open space with greenery and the best project."
Amaya Residences,Guest User,03/12/2020,4,Good project.,Best project in Narendrapur. The project is very beautiful modern amenities are there 24-hour security services available. The project is easily accessible from different parts of the city.
Amaya Residences,Guest User,03/12/2020,4,Good project.,"The project is located in Narendrapur. All facilities are available like Hospitals, Schools, Banks, Parking space, Good security, and near this project. The project offers maximum open space with greenery and the best project."
Amaya Residences,Guest User,03/12/2020,4,Good project.,Best project in Narendrapur. The project is very beautiful modern amenities are there 24-hour security services available. The project is easily accessible from different parts of the city.
Amaya Residences,Ashish,21/02/2013,0,Review Of Narendra Pur,?
Imperial Riddhi Siddhi,Umashankar ,05/08/2015,5,Diamond Harbour Road.,?
Green Heights II,A K ,07/06/2016,4,Rajarhat.,?
Sapnil Residency,Pavan,12/07/2020,5,Good society,"Sapnil Residency is a Residential project located in sinthi , Kolkata North by Sapnil Developers . This Apartment offers 1bhk 2bhk 3bhk flats with modern basic amenities"
Sapnil Residency,Pavan,12/07/2020,5,Good society,"Sapnil Residency is a Residential project located in sinthi , Kolkata North by Sapnil Developers . This Apartment offers 1bhk 2bhk 3bhk flats with modern basic amenities"
Sapnil Residency,Adnan ,24/05/2018,4,BT Road,?
Sreeniketan,Goutam ,01/03/2016,4,Bose Para.,?
Rishi Pranaya Phase 1,Guest User,17/11/2020,5,Nice project.,"A well designed residential project. The project has many amenities like a clubhouse, power backup, swimming pool, and more. All daily needs available nearby."
Rishi Pranaya Phase 1,Guest User,17/11/2020,5,Nice project.,"A well designed residential project. The project has many amenities like a clubhouse, power backup, swimming pool, and more. All daily needs available nearby."
Rishi Pranaya Phase 1,Arindam ,27/07/2014,4,Rajarhat.,?
Saket Induwas,Rajib ,12/12/2013,5,Bhawanipur is the oldest locality of South Kolkata.,?
South City,Guest User,03/06/2021,4,Good project.,"It is good to project. Indore and outdoor, swimming pool, the garden also facilities available in the project. Good security and good amenities available."
South City,Guest User,31/05/2021,5,Nice project.,It is a very good place for leaving and all amenities are available here. This place is very crowded. Most attractive place in Kolkata.
South City,Guest User,03/06/2021,4,Good project.,"It is good to project. Indore and outdoor, swimming pool, the garden also facilities available in the project. Good security and good amenities available."
South City,Guest User,31/05/2021,5,Nice project.,It is a very good place for leaving and all amenities are available here. This place is very crowded. Most attractive place in Kolkata.
South City,Guest User,27/12/2020,4,Nice project.,"This project is developed by the South City Group and this project has many size options are available in 2, 3, and 4 BHK apartment and a total of 5 Block and project has good amenities include in the project."
South City,Guest User,27/12/2020,4,Good Project,South City  is good Project. Nice location. Well maintained project. Good amenities available
South City,Guest User,19/12/2020,4,Best project,"The project offers apartments with perfect contemporary architecture and features to provide a comfortable living. It also has amenities like a Jogging Track, Lawn tennis court and Swimming pool ensuring the health and recreational needs."
South City,Guest User,17/12/2020,5,It is a very well known project,"A very well maintained and well located project.All world class amenties are available here. Available amenities like swimming pool, powerbackup,  clubhouse, lift and more. Rabindra sarovar metro station is very Nearby."
South City,Guest User,08/08/2020,5,South City.,South City is located in prince Anwar Shah road Kolkata. South City project is the best residential and commercial project in Kolkata. School and car parking for more than 1400 cars. South City symbolizes the changing perceptions of the way people have traditionally lived in Kolkata.
South City,Deb ,22/09/2013,4,Review of Prince Anwar Shah Road.,?
Silver Estate,Samiran ,18/09/2013,5,Madhyam Gram.,?
Unmesha Apartment,Anita,02/07/2017,5,Dumdum Park,?
Calcutta Riverside,Boni,11/03/2020,5,Maheshtala.,?
Genexx Valley,Suvagata,22/08/2020,5,Genexx Valley.,Genexx Valley is situated at Diamond Harbour Road Thakurpur in Kolkata Genexx valley spread across 20 acres of land approximately and out of which 14 acres have been devoted to greenery play areas and water The Joka Tram Depot and E S I Hospital also lies close to the vicinity which is a landmark.
Genexx Valley,Suvagata,22/08/2020,5,Genexx Valley.,Genexx Valley is situated at Diamond Harbour Road Thakurpur in Kolkata Genexx valley spread across 20 acres of land approximately and out of which 14 acres have been devoted to greenery play areas and water The Joka Tram Depot and E S I Hospital also lies close to the vicinity which is a landmark.
Genexx Valley,Liyaans,09/08/2019,3,Joka - I Live Here,?
Fortune Heights,Guest User,06/08/2020,4,Nice Project.,"Fortune Heights is a premium project in Barasat. All amenities available here, its not a completed project, few blocks ready in this project."
Fortune Heights,Guest User,06/08/2020,4,Nice Project.,"Fortune Heights is a premium project in Barasat. All amenities available here, its not a completed project, few blocks ready in this project."
Fortune Heights,Shefali ,12/04/2016,5,Barasat.,?
Regent Enclave,Bijan,20/08/2012,0,Review Of Kaikhali,?
Merlin Maximus,Guest User,21/08/2020,3,Merlin Maximus.,"Merlin Maximus in Sodepur, Kolkata North by Merlin Merlin Maximus offers facilities such as Gymnasium and Lift. It also has amenities like Badminton court, Basketball court, Jogging track and Swimming pool. The project has indoor activities such as Pool table. It also offers services like Banquet ha... Read More"
Merlin Maximus,Guest User,21/08/2020,3,Merlin Maximus.,"Merlin Maximus in Sodepur, Kolkata North by Merlin Merlin Maximus offers facilities such as Gymnasium and Lift. It also has amenities like Badminton court, Basketball court, Jogging track and Swimming pool. The project has indoor activities such as Pool table. It also offers services like Banquet ha... Read More"
Merlin Maximus,Kishore Dey,05/04/2013,0,Review Of Sodepur,?
Magnolia Sports City,Surojit,03/02/2013,0,Review Of Barrackpore,?
Shriram Grand City,Mayank,07/06/2013,4,Uttarpara-The link to Kolkata.,?
Arrjavv Sonar Kella,Prasenjit ,19/02/2013,0,Review Of Baruipur,?
Avani Oxford 2,Guest User,27/10/2020,5,Fantastic project.,It is one of the best residential complexes in the city of Kolkata. Nice environment great complex to live your life. High-quality people stay here. But the bus service is one way.
Avani Oxford 2,Guest User,14/08/2020,5,Best Project On This Location.,"Avani Oxford 2 is a residential project and  located in Jessore Road. The Apartment are of the following configurations is 2BHK, 3BHK and 4BHK. Amenities like, Swimming pool, Visitors parking, Terrace garden, Pergola, Library, Cafeteria, Community hall, indoor game, Club house, Security, Power backu... Read More"
Avani Oxford 2,Guest User,27/10/2020,5,Fantastic project.,It is one of the best residential complexes in the city of Kolkata. Nice environment great complex to live your life. High-quality people stay here. But the bus service is one way.
Avani Oxford 2,Guest User,14/08/2020,5,Best Project On This Location.,"Avani Oxford 2 is a residential project and  located in Jessore Road. The Apartment are of the following configurations is 2BHK, 3BHK and 4BHK. Amenities like, Swimming pool, Visitors parking, Terrace garden, Pergola, Library, Cafeteria, Community hall, indoor game, Club house, Security, Power backu... Read More"
Avani Oxford 2,Anup,24/06/2021,5,Jessore Road.,?
Unimark Riviera,Guest User,10/12/2020,5,Good Project.,It is one of the finest projects coming up with lots of greenery. The high rise has well-designed interiors. Apartments are fully ventilated. The project provides all the luxurious facilities and services for your comfortable living.
Unimark Riviera,Guest User,14/08/2020,4,Unimark Riviera,"Unimark Riviera is a project where u can live your live peaceful and luxurious life. This project is situated very close to Ganga, almost all sides are opens No air pollution in this area. This is Very greeny and specious complex."
Unimark Riviera,Guest User,10/12/2020,5,Good Project.,It is one of the finest projects coming up with lots of greenery. The high rise has well-designed interiors. Apartments are fully ventilated. The project provides all the luxurious facilities and services for your comfortable living.
Unimark Riviera,Guest User,14/08/2020,4,Unimark Riviera,"Unimark Riviera is a project where u can live your live peaceful and luxurious life. This project is situated very close to Ganga, almost all sides are opens No air pollution in this area. This is Very greeny and specious complex."
Unimark Riviera,Nita ,02/05/2016,4,Uttarpara.,?
Unimark Riviera,Guest User,10/12/2020,5,Good Project.,It is one of the finest projects coming up with lots of greenery. The high rise has well-designed interiors. Apartments are fully ventilated. The project provides all the luxurious facilities and services for your comfortable living.
Unimark Riviera,Guest User,14/08/2020,4,Unimark Riviera,"Unimark Riviera is a project where u can live your live peaceful and luxurious life. This project is situated very close to Ganga, almost all sides are opens No air pollution in this area. This is Very greeny and specious complex."
Unimark Riviera,Guest User,10/12/2020,5,Good Project.,It is one of the finest projects coming up with lots of greenery. The high rise has well-designed interiors. Apartments are fully ventilated. The project provides all the luxurious facilities and services for your comfortable living.
Unimark Riviera,Guest User,14/08/2020,4,Unimark Riviera,"Unimark Riviera is a project where u can live your live peaceful and luxurious life. This project is situated very close to Ganga, almost all sides are opens No air pollution in this area. This is Very greeny and specious complex."
Unimark Riviera,Nita ,02/05/2016,4,Uttarpara.,?
Magnolia City,Guest User,20/08/2020,5,Magnolia City,"Magnolia Nakshatra is a wonderful project in Barasat, Swimming Pool, Children's Play Area, Power Back Up, Parking all amenities available in this project. Its well connected with Barasat and Hridaypur Railway Station."
Magnolia City,Guest User,20/08/2020,5,Magnolia City,"Magnolia Nakshatra is a wonderful project in Barasat, Swimming Pool, Children's Play Area, Power Back Up, Parking all amenities available in this project. Its well connected with Barasat and Hridaypur Railway Station."
Magnolia City,subhashis basu,22/06/2015,4,Barasat.,?
Eden Tolly Signature Phase 1,Suraj,11/11/2014,5,Mahatma Gandhi Road.,?
Green View Apartment,Kumar,21/05/2015,4,Belghoria.,?
Panache,Guest User,24/12/2020,4,Good project.,"Panache is a good project. Nice location and well-maintained project, all good amenities are available here."
Panache,Guest User,12/07/2020,5,Panache_Salt Lake City Sector 5,"Panache is a ready to move Residential project located in Salt Lake sector v Kolkata . This project offers 2bhk 3bhk and 4bkh flat with all modern facilities and all aminities such as swimming pool , pool table , banguet hall , lift , gymnasium etc ."
Panache,Guest User,24/12/2020,4,Good project.,"Panache is a good project. Nice location and well-maintained project, all good amenities are available here."
Panache,Guest User,12/07/2020,5,Panache_Salt Lake City Sector 5,"Panache is a ready to move Residential project located in Salt Lake sector v Kolkata . This project offers 2bhk 3bhk and 4bkh flat with all modern facilities and all aminities such as swimming pool , pool table , banguet hall , lift , gymnasium etc ."
Panache,K K,06/04/2016,5,Salt Lake City Sector-5.,?
Rajwada Solus,Amit kumar,11/12/2018,5,Tagore Park is nice locality.,?
Diamond Residency,Guest User,07/08/2020,4,Diamond Residency.,"Diamond Residency in Bakultala, Kolkata South by Diamond Group is a residential project. Diamond Residency offers facilities such as gymnasium and Lift. It also has amenity like swimming pool. It also offers Car parking."
Diamond Residency,Guest User,07/08/2020,4,Diamond Residency.,"Diamond Residency in Bakultala, Kolkata South by Diamond Group is a residential project. Diamond Residency offers facilities such as gymnasium and Lift. It also has amenity like swimming pool. It also offers Car parking."
Diamond Residency,Aditya,20/02/2014,5,Behala is a good place to live in Kolkata.,?
Shriram Grand City,Mayank,07/06/2013,4,Uttarpara-The link to Kolkata.,?
Siddha Waterfront,Guest User,12/07/2020,4,Siddha Waterfront_Khardah,"Siddharth waterfront is a luxurious and specious project . Which offers all modern amenities and facilities . This project located in khardah , developed by Siddha Group . This project is ideal for peace lovers ."
Siddha Waterfront,Guest User,12/07/2020,4,Siddha Waterfront_Khardah,"Siddharth waterfront is a luxurious and specious project . Which offers all modern amenities and facilities . This project located in khardah , developed by Siddha Group . This project is ideal for peace lovers ."
Siddha Waterfront,Adiya,05/12/2012,0,Review Of Khardah,?
Club Town Estates,Guest User,17/08/2020,2,Good Project.,"Club Town Estates is in Daga Colony, situated in Dumdum, Kolkata North. It is residential project. It has also full of modern amenities like, Swimming pool, Community hall, Gymnasium. It is a ready to move project."
Club Town Estates,Guest User,17/08/2020,2,Good Project.,"Club Town Estates is in Daga Colony, situated in Dumdum, Kolkata North. It is residential project. It has also full of modern amenities like, Swimming pool, Community hall, Gymnasium. It is a ready to move project."
Club Town Estates,Sujit ,10/03/2013,0,Review Of Dum Dum,?
Hiland Greens,GHOSH,03/06/2014,3,Maheshtala.,?
Siddha Happy Ville,Guest User,02/06/2021,4,Nice project.,Nice project with all the top facilities. Feels like some foreign city inside here. Nice location to live peacefully. Great ambiance. No sound from outside. Good building structure.
Siddha Happy Ville,Guest User,26/12/2020,4,Nice project.,Siddha Happy Ville is good Locality. Good Project nice amenities available. Good Construction
Siddha Happy Ville,Guest User,02/06/2021,4,Nice project.,Nice project with all the top facilities. Feels like some foreign city inside here. Nice location to live peacefully. Great ambiance. No sound from outside. Good building structure.
Siddha Happy Ville,Guest User,26/12/2020,4,Nice project.,Siddha Happy Ville is good Locality. Good Project nice amenities available. Good Construction
Siddha Happy Ville,Guest User,19/12/2020,4,Good project.,"All amenities are available in the project and, roads are good and hospitals, schools are nearby. It is a good project good security good lift. The best amenities are here."
Siddha Happy Ville,Suvagata,21/08/2020,5,Premium Housing at Rajarhat,Siddha Happyville is a premium housing project launched by Siddha Group in Rajarhat Kolkata These 2 and 3BHK Apartment in Kolkata North are available from 1125 sq-ft to 1445 sq-ft Among the many luxurious. The project is well connected by various modes of transportation  All public transport service... Read More
Siddha Happy Ville,Abhijit,28/03/2015,5,Rajarhat.,?
Ideal Exotica,Guest User,19/08/2020,4,Best Project.,Ideal Exotica is located in New Alipore. Ideal Exotica is the first ever green building developed by ideal Group in Kolkata. Conveniently located in New Alipore. Ideal Exotica is occupied with the ultra modern facilities. Every corner of the project is designed with the best quality products.
Ideal Exotica,Guest User,19/08/2020,4,Best Project.,Ideal Exotica is located in New Alipore. Ideal Exotica is the first ever green building developed by ideal Group in Kolkata. Conveniently located in New Alipore. Ideal Exotica is occupied with the ultra modern facilities. Every corner of the project is designed with the best quality products.
Ideal Exotica,Pratik ,29/03/2013,0,Review Of New Alipore,?
HILAND ELGIN,Tushar,03/02/2014,3,Maheshtala.,?
PS ONE10,Guest User,07/06/2021,4,High rise towers.,"Project is very good,high rise towers.all facilities are coming up in the locality,amenities are luxurious.location is good.builder is reputed and one of the top builder of east.one of the best project for a family."
PS ONE10,Guest User,03/06/2021,5,Nice project.,It is one of the best townships in Kolkata. All amenities are available. Highly attractive apartment in this area. Door video machine available.
PS ONE10,Guest User,07/06/2021,4,High rise towers.,"Project is very good,high rise towers.all facilities are coming up in the locality,amenities are luxurious.location is good.builder is reputed and one of the top builder of east.one of the best project for a family."
PS ONE10,Guest User,03/06/2021,5,Nice project.,It is one of the best townships in Kolkata. All amenities are available. Highly attractive apartment in this area. Door video machine available.
PS ONE10,Guest User,27/12/2020,4,Good Project,One 10 is good Project. Nice location. Well maintained project.  Nice amenities available
PS ONE10,Guest User,19/12/2020,4,Best project,It is a very nicely designed project with many great amenities and currently. The property is under construction. The layout is well designed.
PS ONE10,Guest User,12/11/2020,4,Nice projedct.,"The project is very good, all facilities are coming up in the locality, one of the top builders, most of the flats are Vaastu complaints, builder promise to provide lots of features however work in progress."
PS ONE10,Gaurav Gupta,10/11/2020,5,Nice project.,It is an excellent project with one of the best builders. This is under construction and works in progress and a Metro station is also proposed near the metro station.
PS ONE10,Swapan Kumar,21/01/2018,5,New Town,?
Shubham Apartments,Vivek,16/09/2012,0,Review Of Alipore,?
Devaloke Nest,Niladri,11/09/2013,4,Narendrapur.,?
Vedic Duplex Natura,Rakesh,31/01/2016,5,Rajarhat.,?
Unimark Riviera,Guest User,10/12/2020,5,Good Project.,It is one of the finest projects coming up with lots of greenery. The high rise has well-designed interiors. Apartments are fully ventilated. The project provides all the luxurious facilities and services for your comfortable living.
Unimark Riviera,Guest User,14/08/2020,4,Unimark Riviera,"Unimark Riviera is a project where u can live your live peaceful and luxurious life. This project is situated very close to Ganga, almost all sides are opens No air pollution in this area. This is Very greeny and specious complex."
Unimark Riviera,Guest User,10/12/2020,5,Good Project.,It is one of the finest projects coming up with lots of greenery. The high rise has well-designed interiors. Apartments are fully ventilated. The project provides all the luxurious facilities and services for your comfortable living.
Unimark Riviera,Guest User,14/08/2020,4,Unimark Riviera,"Unimark Riviera is a project where u can live your live peaceful and luxurious life. This project is situated very close to Ganga, almost all sides are opens No air pollution in this area. This is Very greeny and specious complex."
Unimark Riviera,Nita ,02/05/2016,4,Uttarpara.,?
Sunny dale,Subhajit Kumar Saha,06/01/2019,4,Ramchandrapur.,?
Radha Krishna Kunja,H Sharma,20/02/2019,5,Chinar Park.,?
Tarini Enclave,Golam,03/03/2020,5,Chinar Park.,?
Navyug Model,Aditya,21/02/2014,5,Kamalgazi is a nice locality of Kolkata.,?
Siddha Town,Guest User,23/08/2020,4,Siddha Town,"Siddha Town situated in Madhyamgram, is a sprawling luxury enclave of magnificent Apartments in Kolkata, elevating the contemporary lifestyle. Siddha Town Madhyamgram by Siddha Group in Madhyamgram is meticulously designed with unbound convenience and the best of amenities and are an effortless blen... Read More"
Siddha Town,Guest User,23/08/2020,4,Siddha Town,"Siddha Town situated in Madhyamgram, is a sprawling luxury enclave of magnificent Apartments in Kolkata, elevating the contemporary lifestyle. Siddha Town Madhyamgram by Siddha Group in Madhyamgram is meticulously designed with unbound convenience and the best of amenities and are an effortless blen... Read More"
Siddha Town,Nibedita,04/06/2014,4,Madhyam Gram.,?
PS Magnum,Piyush,29/03/2014,4,VIP Road.,?
Pabitra Deb Tower,Mr Kunal,20/02/2016,5,Thakur Pukur.,?
Greenfield City,Guest User,21/08/2020,5,Greenfield City,"Greenfield City is an unmatched Residential property located in Behala, Kolkata. The project offers plenty of benefits that includes prime location. Greenfield City is spread over an area of 45.00 acres with 11 floors. The amenities offered in Greenfield City are Landscaped Garden, Indoor Games, CCT... Read More"
