name,id,description,url,price,priceInWord,cityName,addressLocality,longitude,latitude,numberOfRooms,bathroom,bedroom,floorSize,floorno,furnshingstatus,agentName,agentCompanyName,agentMaskedmobilenumber
3 BHK Flat  for Sale in   Kolapakkam ,domcache_srp_56393635,"3 Bath,Unfurnished ETERNE an oasis of urban calm. This magnificient collection of 2 & 3 bedroom apartments sits at one of the most desirable locations of the city. These stylish & Contemporary homes feature its own balcony, a spacious living/dining room, two & three bathrooms and a fully equipped modern kitchen, also with its own balcony.",https://www.magicbricks.com/propertyDetails/3-BHK-1318-Sq-ft-Multistorey-Apartment-FOR-Sale-Kolapakkam-in-Chennai&id=4d423536333933363335,7249000,72.5 Lac,Chennai,Kolapakkam,13.007786,80.1440573,3,3,3,1318 FTK ,,Unfurnished,Paari,PS Constructions,+91-87XXXXXXX12
2 BHK Flat  for Sale in   Ambattur ,domcache_srp_54819023,"2 Bath,Unfurnished  Lake Dugar is located within Chennai Corporation limit at Ambattur, Just 20 minutes from Anna Nagar. ",https://www.magicbricks.com/propertyDetails/2-BHK-1044-Sq-ft-Multistorey-Apartment-FOR-Sale-Ambattur-in-Chennai&id=4d423534383139303233,6000000,60 Lac,Chennai,Ambattur,13.118827,80.146799,2,2,2,1044 FTK ,,Unfurnished,Mumtaj  Begum,Dugar Housing Limited.,+91-98XXXXXXX49
2 BHK Flat  for Sale in   Sholinganallur ,domcache_srp_55079867,"2 Bath,Unfurnished A wonderful sense of aesthetic elegance and contemporary comforts go into the designing of Srishti homes. Strategically located at Sholinganallur seamlessly connecting the high growth IT corridor of OMR and the entertaiment hub of ECR makes Srishti a home of magnificent grandeur. An adobe to 72 premium apartments of 2 and 3 bedrooms, Srishti is a genuine, once in a genreation opportunity to own a unique and exclusive property ",https://www.magicbricks.com/propertyDetails/2-BHK-1341-Sq-ft-Multistorey-Apartment-FOR-Sale-Sholinganallur-in-Chennai&id=4d423535303739383637,8617132,86.2 Lac,Chennai,Sholinganallur,12.8968883,80.2248234,2,2,2,1341 FTK ,,Unfurnished,Bhaggyam Constructions,Bhaggyam Constructions,+91-87XXXXXXX02
1 BHK Flat  for Sale in   Anakaputhur ,domcache_srp_56513471,"1 Bath,Unfurnished Sai Elina Apartment is situated near pallavaram at Anakaputhur (Chennai South).This project is under construction with possession scheduled in December 2021. This project is constructing with 1 and 2 BHK flats from 544 sq.ft. to 855 sq.ft. at an affordable cost. It is a 3-story building with Single Block that has 7 units in total and CMDA approved. The interiors and exteriors have been well planned to perfection with proper pre-planning to ensure sufficient cross-ventilation and natural light are entering into the rooms.Sai Elina Apartment is located close to prominent suburbs of Chennai Airport, well connected and easy access of Chennai bypass, railway station, bus stand, schools, hospitals, banks, restaurants within a close distance. Get ready to move into the most desirable address and live in a state of perfect harmony with complete peace of mind.",https://www.magicbricks.com/propertyDetails/1-BHK-530-Sq-ft-Builder-Floor-Apartment-FOR-Sale-Anakaputhur-in-Chennai&id=4d423536353133343731,2120000,21.2 Lac,Chennai,Anakaputhur,12.9778265,80.1271925,1,1,1,530 FTK ,,Unfurnished,Bharathi ,Bharathi Construction ,+91-78XXXXXXX65
"2 BHK Flat  for Sale in   Kelambakkam, Old Mahabalipuram Road ",domcache_srp_53945639,"2 Bath,Unfurnished Located in Kelambakkam, OMR, Incor PBEL City is an upcoming housing project, that offers 2BHK and 3BHK flats. It is developed by Incor Infrastructure to facilitate both, undisturbed private moments and exuberant camaraderie of its residents. PBEL City is lavishly designed with modern techniques and features with the best of industry specifications.",https://www.magicbricks.com/propertyDetails/2-BHK-1370-Sq-ft-Multistorey-Apartment-FOR-Sale-Kelambakkam-in-Chennai&id=4d423533393435363339,5204630,52 Lac,Chennai,"Kelambakkam, Old Mahabalipuram Road",12.7905363,80.222118,2,2,2,1370 FTK ,,Unfurnished,Ambiga,PBEL Property Development India Pvt. Ltd.,+91-73XXXXXXX49
"2 BHK Flat  for Sale in   Madhavaram, Guntur Chennai Highway ",domcache_srp_50876112,"2 Bath,Unfurnished Gokulam Apartments, elegantly designed 1bhk & 2bhk apartments in the happening location of North Chennai's Madhavaram.",https://www.magicbricks.com/propertyDetails/2-BHK-981-Sq-ft-Multistorey-Apartment-FOR-Sale-Madhavaram-in-Chennai&id=4d423530383736313132,5150250,51.5 Lac,Chennai,"Madhavaram, Guntur Chennai Highway",13.152349,80.229743,2,2,2,981 FTK ,,Unfurnished,Ganga,Ganga Foundations Private Limited,+91-98XXXXXXX66
3 BHK Flat  for Sale in   Saligramam ,domcache_srp_54952851,"3 Bath,Unfurnished Located at the heart of the city in Saligramam, Vaanam Construction's Summer Garden is a dream project for customers looking for a peaceful residence within city limits. Being engineered by internationally renowned architects, the project is inspiring in design, stirring in luxury and enveloped by a nature centric environment. With the goal of delivering a luxurious and finely crafted project, Vaanam Construction has come up with an urban chic lifestyle project in Summer Garden. The project has 34 exclusively designed apartments equipped with all luxury fittings. Amenities like a gym, rain water harvesting, CCTV cameras are all available in the project. Many renowned scholls, colleges and hospitals are available within a walking distance from the project. All this in a budget that you can afford or invest for good returns.",https://www.magicbricks.com/propertyDetails/3-BHK-1325-Sq-ft-Multistorey-Apartment-FOR-Sale-Saligramam-in-Chennai&id=4d423534393532383531,13248675,1.32 Cr,Chennai,Saligramam,,,3,3,3,1325 FTK ,,Unfurnished,A P  Sreenivasa,Vaanam Constructions,+91-75XXXXXXX12
2 BHK Villa for Sale in Chengalpet,domcache_srp_56133061,"2 Bath,Unfurnished Sri Ramanujar Nagar is a DTCP Approved premium Plots.Located at Chengalpattu, just 3 minutes drive from Chengalpattu GST Highway, Webring you perfectly laid out plots, Located close to prominent schools, colleges , hospitals and industries.Sri Ramanujar Nagar brings you a once-in-a lifetime opportunity to buy the plot of your dreams, which bring you the space and freedom to build your home the way you want it.",https://www.magicbricks.com/propertyDetails/2-BHK-1066-Sq-ft-Villa-FOR-Sale-Chengalpet-in-Chennai&id=4d423536313333303631,1600000,16 Lac,Chennai,Chengalpet,12.6729405,79.9974778,2,2,2,1066 FTK ,,Unfurnished,Yoghalaya Reals,,+91-96XXXXXXX01
2 BHK Villa for Sale in Oragadam Sriperumbudur,domcache_srp_56451829,"2 Bath,Unfurnished Positioned at the extension of greater Chennai, Oragadam, Supreme carries with it the many charms of an adorable living that you would have dreamt of. With the advantage of addressing a prominent location, housing a wide range of over 400 homes (variants include Villas, Twin houses & Row houses) that comes in different sizes, Supreme is a beautiful blend of elegant engineering & amazing amenities.Mahidhara Supreme takes pride in guiding you to the index of intelligent investment. With prominent location, great choices of homes & loads of amenities opening up avenues to an excellent investment opportunity, Mahidhara Supreme answers your request for living nets a foreword ",https://www.magicbricks.com/propertyDetails/2-BHK-853-Sq-ft-Villa-FOR-Sale-Oragadam-Sriperumbudur-in-Chennai&id=4d423536343531383239,2303100,23 Lac,Chennai,Oragadam Sriperumbudur,13.129581,80.15391,2,2,2,853 FTK ,,Unfurnished,Shivani A,Mahidhara Projects Pvt. Ltd.,+91-87XXXXXXX44
3 BHK Flat  for Sale in   Padi ,domcache_srp_53634873,"3 Bath,Unfurnished GP Elegant Castle in Padi, Chennai North by GP Homes is a residential project.The project offers Apartment with perfect combination of contemporary architecture and features to provide comfortable living.",https://www.magicbricks.com/propertyDetails/3-BHK-1232-Sq-ft-Multistorey-Apartment-FOR-Sale-Padi-in-Chennai&id=4d423533363334383733,9238768,92.4 Lac,Chennai,Padi,13.100362,80.1867725,3,3,3,1232 FTK ,,Unfurnished,Shiva  Kumar,GP Homes,+91-80XXXXXXX61
3 BHK Flat  for Sale in   Medavakkam ,domcache_srp_53502627,"2 Bath,Unfurnished Whitefield Mudra Phase 4 is a revival of urban desire embellished with greenery throughout. Every home is an interpretation of cosy living experience that reflects in its spaciously crafted rooms. Homes here come in variants of two & three BHK.The elegantly designed homes boast of long appealing windows and a private terrace garden that allows you to retreat to a tranquil mind-set after a busy day of work. Welcome home",https://www.magicbricks.com/propertyDetails/3-BHK-1089-Sq-ft-Multistorey-Apartment-FOR-Sale-Medavakkam-in-Chennai&id=4d423533353032363237,5445000,54.5 Lac,Chennai,Medavakkam,12.930587,80.190059,3,2,3,1089 FTK ,,Unfurnished,Shirdi Shelters,Shirdi Shelters,+91-94XXXXXXX36
2 BHK Flat  for Sale in   Sholinganallur ,domcache_srp_41751445,"2 Bath,Unfurnished Nexterra is 8 Acres gated community property developing at perumbakkam. This construction is of stilt + 4 apartments, coming up with 10 blocks comprised with 528 units with covered car parking.",https://www.magicbricks.com/propertyDetails/2-BHK-850-Sq-ft-Multistorey-Apartment-FOR-Sale-Sholinganallur-in-Chennai&id=4d423431373531343435,4791000,47.9 Lac,Chennai,Sholinganallur,12.8968883,80.2248234,2,2,2,850 FTK ,,Unfurnished,Sisir,,+91-99XXXXXXX11
"3 BHK Flat  for Sale in   VGN Nagar, Iyyappanthangal, PH Road ",domcache_srp_52218063,"3 Bath,Semi-Furnished,14 floor,North - East facing Gated Community Apartment in Porur, 3Bhk, 3Bathroom, Wood Work, Modular kitchen, chimney, semi furnished, covered Car Parking, balcony, visitor parking, lift, gym, swimming pool, party hall, children play area, garden, outdoor games, club house, maintenance staff, 24hrs security, waste disposal, water storage, rain harvesting, amazing view And good locality, interested contact me. Near by saravana store, Ramachandra hospital, DLF & L&T, MIOT Hospital, School, College.",https://www.magicbricks.com/propertyDetails/3-BHK-1791-Sq-ft-Multistorey-Apartment-FOR-Sale-VGN-Nagar-in-Chennai&id=4d423532323138303633,13500000,1.35 Cr,Chennai,"VGN Nagar, Iyyappanthangal, PH Road",13.039969,80.131572,3,3,3,1791 FTK ,14,Semi-Furnished,Ilakkiya,Day 2 Day Property Management Services,+91-97XXXXXXX87
1 BHK Flat  for Sale in   Oragadam Sriperumbudur ,domcache_srp_56795155,"1 Bath,Unfurnished Temple Green is a 120 acre Integrated township development located on a ten lane state highway (SH57) in the automobile hub of Chennai, Oragadam. The Township offers an array of products comprising high rise apartments named Heights, low rise apartments named Alpha & Four Greens, a plotted development named Green Acres I & II, & Town Houses Phase I & II to suit the different needs of the general public looking for an appreciating investment opportunity. Temple Green Heights is being developed in a phased manner with 7 Towers H1 to H5, H6 & H8 comprising 1633 apartments which has already become operational with more than 80% occupancy. Ready-to-occupy apartments in configuration of 1 BHK, 2 BHK & 3 BHK can be chosen in H6 & H8 towers.",https://www.magicbricks.com/propertyDetails/1-BHK-695-Sq-ft-Multistorey-Apartment-FOR-Sale-Oragadam-Sriperumbudur-in-Chennai&id=4d423536373935313535,2713975,27.1 Lac,Chennai,Oragadam Sriperumbudur,13.129581,80.15391,1,1,1,695 FTK ,,Unfurnished,Arun Excello,,+91-96XXXXXXX91
2 BHK Flat  for Sale in   Thoraipakkam ,domcache_srp_45436457,"2 Bath,Unfurnished,4 floor West Facing, 3 bhk flat with Park facing and spacious rooms available in Thoraipakkam ,Chennai.",https://www.magicbricks.com/propertyDetails/2-BHK-1073-Sq-ft-Multistorey-Apartment-FOR-Sale-Thoraipakkam-in-Chennai&id=4d423435343336343537,7242750,72.4 Lac,Chennai,Thoraipakkam,12.938241407915987,80.23965690289955,2,2,2,1073 FTK ,4,Unfurnished,Manjula,Elegant Constructions,+91-95XXXXXXX47
"3 BHK Flat  for Sale in   Nerkundram, Koyambedu ",domcache_srp_56288055,"3 Bath,Unfurnished BSR's premium offering is situated at Nerkundram in chennai. Two Blocks of 116 Apartments unrivalled in comfort & convenience and situated in a main locality. BSR Balaji Enclave offers 2 and 3 BHK Apartments in two blocks of 6 & 7 floors with basement & stilt floor parking facilities. BSR Balaji Enclave feature's a Gym room, indoor games hall & multipurpose hall. Get ready to move into the most desirable address and live in a state of perfect harmony with complete peace of mind. ",https://www.magicbricks.com/propertyDetails/3-BHK-1749-Sq-ft-Multistorey-Apartment-FOR-Sale-Nerkundram-in-Chennai&id=4d423536323838303535,11716551,1.17 Cr,Chennai,"Nerkundram, Koyambedu",13.0706033,80.186917,3,3,3,1749 FTK ,,Unfurnished,Prakash,BSR Builders Engineers & Contractors,+91-95XXXXXXX11
3 BHK Flat  for Sale in   Manapakkam ,domcache_srp_55089009,"3 Bath,Unfurnished TVS Emerald presents, Peninsula at Manapakkam. Spread across 6 acres with only 392 apartments, with all corner units! Spacious apartments with three side ventilation lush green homes.TVS Emerald Peninsula located in the heart of city close to IT Parks, schools and hospitals.TVS Emerald Peninsula offers World-class amenities like organic garden, aroma garden, reading pods, hammocks",https://www.magicbricks.com/propertyDetails/3-BHK-1451-Sq-ft-Multistorey-Apartment-FOR-Sale-Manapakkam-in-Chennai&id=4d423535303839303039,7833949,78.3 Lac,Chennai,Manapakkam,,,3,3,3,1451 FTK ,,Unfurnished,TVS Emerald,TVS Emerald,+91-73XXXXXXX68
2 BHK Flat  for Sale in   Porur ,domcache_srp_56818327,"2 Bath,Unfurnished Diamond Apartment is a combination of 3 BHK and 2 BHK homes built on sprawling area of 14 grounds with amenities that gives a comfort for daily living and luxurious gateway like atmosphere, ventilition and a secured community. Utmost importance has been given to light and ventilition and a secured community.",https://www.magicbricks.com/propertyDetails/2-BHK-1138-Sq-ft-Multistorey-Apartment-FOR-Sale-Porur-in-Chennai&id=4d423536383138333237,6259000,62.6 Lac,Chennai,Porur,13.0381775,80.1548396,2,2,2,1138 FTK ,,Unfurnished,Kartick  Mahendran,Karuppaswamy Builders,+91-89XXXXXXX96
"3 BHK Flat  for Sale in   Kattupakkam, PH Road ",domcache_srp_51825739,"3 Bath,Unfurnished Diamond Anandam is a Residential cum Shopping Complex built with 12 Storey located on the Main Road of Kattupakkam, Porur (Poonamallee High Road) which is the place for the high requirement of Residence and Shopping Suburbs. Diamond Anandam is located in a well-developed area with easy accessible to many Reputed Schools and Medical Cares like Ramachandra Medical College, Saveetha Dental College etc. Well connected to Automobile and Software Tech Parks like L&T, DLF, HP etc",https://www.magicbricks.com/propertyDetails/3-BHK-1634-Sq-ft-Multistorey-Apartment-FOR-Sale-Kattupakkam-in-Chennai&id=4d423531383235373339,8985366,89.9 Lac,Chennai,"Kattupakkam, PH Road",13.045954,80.118708,3,3,3,1634 FTK ,,Unfurnished,Poojaa Foundation,Poojaa Foundation Pvt. Ltd.,+91-76XXXXXXX06
2 BHK Flat  for Sale in   Virugambakkam ,domcache_srp_51937187,"2 Bath,Unfurnished RAMS Imperia is a 25 unit residential apartment community with a prime location on the main Arcot Road. RAMS Imperia brings together luxury and quality finish in a sought after address and ideal for both end users and investors.",https://www.magicbricks.com/propertyDetails/2-BHK-910-Sq-ft-Multistorey-Apartment-FOR-Sale-Virugambakkam-in-Chennai&id=4d423531393337313837,9100000,91 Lac,Chennai,Virugambakkam,,,2,2,2,910 FTK ,,Unfurnished,Vikram,RAMS Builders,+91-98XXXXXXX62
"2 BHK Flat  for Sale in   Gerugambakkam, Chennai Bypass Road ",domcache_srp_57020797,"2 Bath,Unfurnished,2 floor,South - East facing Kochar's Neetu Aijun Garden is a contemporary residential development of state-of-the-art, smart home. Live a life you'll love & discover new possibilities you've never imagined in these stylish, intelligent new-age homes. Captivating in every sense, the lifestyle apartments here are a perfect blend of quality, elegance and luxury.What's more, the spacious homes with 3 side ventilation ensure abundant free flow of light and fresh breeze that are quintessences for quality and healthy living. The best is, the comer homes assure you absolute privacy and the joy of living in a villament.",https://www.magicbricks.com/propertyDetails/2-BHK-1025-Sq-ft-Builder-Floor-Apartment-FOR-Sale-Gerugambakkam-in-Chennai&id=4d423537303230373937,4612500,46.1 Lac,Chennai,"Gerugambakkam, Chennai Bypass Road",13.005561,80.1374478,2,2,2,1025 FTK ,2,Unfurnished,Kochar Homes,,+91-78XXXXXXX23
"2 BHK Flat  for Sale in   Chromepet, GST Road ",domcache_srp_55770793,"2 Bath,Unfurnished Avittam Lakshmi Narayana is located in prime location @ Chromepet total 12 units and comprises of thoughtfully built residential apartments. The project offers easy access to premium and basic facilities such as  500 mtrs from tambaram railway station,   900 mtrs from Chromepet Saravana store & Chromepet railway station ,  500 mtrs from Vaishnav college , medical centers, grocery stores  and supermarkets etc.",https://www.magicbricks.com/propertyDetails/2-BHK-884-Sq-ft-Multistorey-Apartment-FOR-Sale-Chromepet-in-Chennai&id=4d423535373730373933,5746000,57.5 Lac,Chennai,"Chromepet, GST Road",,,2,2,2,884 FTK ,,Unfurnished,Prabhakaran,Avittam Homes,+91-98XXXXXXX00
2 BHK Flat  for Sale in   Thalambur ,domcache_srp_56870825,"2 Bath,Unfurnished 573 units of Compact 2 BHK and 2 BHK homes, built on a north-east extended plot at Thalambur Junction. Come home to 4.62 acres of bliss. An abode where every inch of space is efficiently utilized to give you even more space, and evoke a sense of prosperity.",https://www.magicbricks.com/propertyDetails/2-BHK-1026-Sq-ft-Multistorey-Apartment-FOR-Sale-Thalambur-in-Chennai&id=4d423536383730383235,4847323,48.5 Lac,Chennai,Thalambur,12.8535706,80.2073193,2,2,2,1026 FTK ,,Unfurnished,Revanth Mr,Adroit Urban Developers,+91-95XXXXXXX99
2 BHK Flat  for Sale in   Perumbakkam ,domcache_srp_57138689,"2 Bath,Semi-Furnished Seated in the heartland of all social  and infrastructural development in Perumbakkam, KG House of Champions has all the makings of a rapidly appreciating asset. A Highly desirable apartment complex of 2BHK+2T homes in a stilt+ 5 floor structured loaded with 100+lifestyle Amenities, KG House of Champions is a spectacular reward for go-getters! Your HOC home is thoughtfully designed to be Vaastu-compliant; allow maximum natural light and ventilation, flow of positive energy and provide ample spaciousness. From your HOC home, enjoy close proximity to Sholinganallur, the epicentre of IT operations, the bustling suburb of Medavakkam and the recreational hubs of ECR and OMR",https://www.magicbricks.com/propertyDetails/2-BHK-801-Sq-ft-Multistorey-Apartment-FOR-Sale-Perumbakkam-in-Chennai&id=4d423537313338363839,2882799,28.8 Lac,Chennai,Perumbakkam,12.892227,80.189139,2,2,2,801 FTK ,,Semi-Furnished,Srinivasan S,KG Foundations Pvt. Ltd.,+91-99XXXXXXX44
2 BHK Flat  for Sale in   G S T Road ,domcache_srp_56645551,"2 Bath,Unfurnished Shriram Park 63 by Shriram Properties is an integrated township located opposite to Perungalathur Railway Station, Chennai. These residential apartments come in different configurations overlooking lush 1500 acres of greenery.",https://www.magicbricks.com/propertyDetails/2-BHK-1390-Sq-ft-Multistorey-Apartment-FOR-Sale-G-S-T-Road-in-Chennai&id=4d423536363435353531,7526000,75.3 Lac,Chennai,G S T Road,12.902132,80.093946,2,2,2,1390 FTK ,,Unfurnished,Chirping Woods Dhanush,Shriram Properties Pvt. Ltd.,+91-87XXXXXXX92
1 BHK Flat  for Sale in   Perumbakkam ,domcache_srp_31554023,"1 Bath,Unfurnished What happens when you passionately create a home, overlooking every single detail and thoughtfully planning every aspect for comfort and wellness? It becomes an Elite Acres homes within 10.84 acres of land extension.. These homes score high in privacy, comfort, wellness, convenience, location and everything else you would look for in a home.Located in Ottiyambakkam, your home is easily accessible by Sholinganallur, Navalur, Medavakkam and Sipcot, all just 6 km away, with proximity to hospitals, workplaces, renowned schools and institutions. Your life here would be defined by privacy, because your home is designed with no wall sharing. With 70% open space, scenic views, plenty of fitness features and every essential convenience, your experience here is one to cherish for a lifetime.",https://www.magicbricks.com/propertyDetails/1-BHK-627-Sq-ft-Multistorey-Apartment-FOR-Sale-Perumbakkam-in-Chennai&id=4d423331353534303233,2193873,21.9 Lac,Chennai,Perumbakkam,12.872001,80.199054,1,1,1,627 FTK ,,Unfurnished,Premila,Plaza Group,+91-98XXXXXXX09
2 BHK Flat  for Sale in   Thirumazhisai ,domcache_srp_55790563,"2 Bath,Unfurnished In a thoughtful endeavour to liberate children from the clutches of gadgets and provide them a platform for holistic development, CodeName New Porur offers, Genius, a platform that hones child's Unique skill in Music, Dance, Arts, Cooking and more, and helps them realise the best of their abilities. With definite location advantage, a blissful green environment equipped with amazing amenities, and a home that redefines luxury living and brings style to everyday living, the Manhattan Condos at CodeName New porur guarantee a New Dawn each day of life.",https://www.magicbricks.com/propertyDetails/2-BHK-849-Sq-ft-Multistorey-Apartment-FOR-Sale-Thirumazhisai-in-Chennai&id=4d423535373930353633,3400000,34 Lac,Chennai,Thirumazhisai,,,2,2,2,849 FTK ,,Unfurnished,Urbanrise Alliance,,+91-91XXXXXXX84
3 BHK Flat  for Sale in   Siruseri ,domcache_srp_56179851,"3 Bath,Unfurnished,1 floor,North - East facing Pragnya Eden Park in Siruseri, Chennai has apartments available at an affordable budget range between INR 27.0 Lac  1.15 Cr.. Pragnya Eden Park, Siruseri, located in the heart of OMR, is a fully integrated pollutionfree green township replete with potable water. Home to the prestigious PSBB School and a host of sportscentric amenities like skating, futsal, cricket, etc, Pragnya Phase II 123 BHK homes truly the best option for both  healthy and lifestyle living as well as for rentalresale value.",https://www.magicbricks.com/propertyDetails/3-BHK-2050-Sq-ft-Multistorey-Apartment-FOR-Sale-Siruseri-in-Chennai&id=4d423536313739383531,10500000,1.05 Cr,Chennai,Siruseri,12.8291616,80.2139363,3,3,3,2050 FTK ,1,Unfurnished,The Residentially,,+91-80XXXXXXX73
