name,id,description,url,price,priceInWord,cityName,addressLocality,longitude,latitude,numberOfRooms,bathroom,bedroom,floorSize,floorno,furnshingstatus,agentName,agentCompanyName,agentMaskedmobilenumber
"3 BHK Flat  for Sale Flora Fountain, in   Topsia ",domcache_srp_53008223,"2 Bath,Unfurnished The Project in Central Kolkata redefines the standard of living with architectural excellence. The contemporary flats for sale at Topsia Kolkata come equipped with well-planned layouts and measures matching the new age urban lifestyle. An embodiment of refreshing waterbodies and sprawling landscaped greens, Flora Fountain at Topsia is further adorned with ornate fountains and lightings.The simple joys of living flow all around these south facing and waterbody facing residential flats in Central Kolkata. Convenience complements Fine Living amidst Nature at this property at Topsia with progressive infrastructure and facilities with vital civic amenities within a few minutes' reach.",https://www.magicbricks.com/propertyDetails/3-BHK-1126-Sq-ft-Multistorey-Apartment-FOR-Sale-Topsia-in-Kolkata&id=4d423533303038323233,10700000,1.07 Cr,Kolkata,Topsia,22.5481585,88.3781969,3,2,3,1126 FTK ,,Unfurnished,Alcove Realty,,+91-83XXXXXXX52
"2 BHK Flat  for Sale Joy 98, in   BT Road ",domcache_srp_54786305,"2 Bath,Unfurnished Standing tall in the heart of BT Road, this twenty ve storied tower is a perfect blend of luxury and contentment. The peaceful environment around the abode speaks joy, the cozy corners of the spacious rooms create unforgettable moments, the kids play area makes your toddlers witness the best of childhood and the refreshing water body comforts your soul after a long tiring day. Come home to Joy 98. Live the moments of joy.",https://www.magicbricks.com/propertyDetails/2-BHK-952-Sq-ft-Multistorey-Apartment-FOR-Sale-BT-Road-in-Kolkata&id=4d423534373836333035,4569600,45.7 Lac,Kolkata,BT Road,,,2,2,2,952 FTK ,,Unfurnished,NPR Group,,+91-99XXXXXXX66
"2 BHK Flat  for Sale Ananya, in   Rajpur ",domcache_srp_30501019,"2 Bath,Unfurnished Ananya the other name for a easy comfortable life for You and your family. A home that compliments the versatile life of a woman, A Home made with Love, Made with care, For every woman out there.",https://www.magicbricks.com/propertyDetails/2-BHK-925-Sq-ft-Multistorey-Apartment-FOR-Sale-Rajpur-in-Kolkata&id=4d423330353031303139,2550000,25.5 Lac,Kolkata,Rajpur,22.47109,88.356071,2,2,2,925 FTK ,,Unfurnished,Aveek Mazumder,Riya Manbhari,+91-98XXXXXXX06
"3 BHK Flat  for Sale HIJIBIJI, in   Rajarhat ",domcache_srp_33364183,"3 Bath,Unfurnished Hijibiji by Realtech Group presents exclusive 2 and 3 BHK flats with all modern amenities in Rajarhat, Kolkata. Its architectural design will provide the best solution, meeting all your living needs with creativity, innovation and high quality standards.",https://www.magicbricks.com/propertyDetails/3-BHK-1199-Sq-ft-Multistorey-Apartment-FOR-Sale-Rajarhat-in-Kolkata&id=4d423333333634313833,5515400,55.2 Lac,Kolkata,Rajarhat,22.60802,88.49045,3,3,3,1199 FTK ,,Unfurnished,Realtech Nirman,Realtech Nirman Pvt. Ltd.,+91-81XXXXXXX77
"2 BHK Flat  for Sale Meena Fortuna, in   New Town ",domcache_srp_57389701,"2 Bath,Unfurnished Residential Apartments with well equiped modern amenities.",https://www.magicbricks.com/propertyDetails/2-BHK-845-Sq-ft-Multistorey-Apartment-FOR-Sale-New-Town-in-Kolkata&id=4d423537333839373031,3126500,31.3 Lac,Kolkata,New Town,22.5913323,88.4821379,2,2,2,845 FTK ,,Unfurnished,Soma  Mehra,,+91-98XXXXXXX70
"3 BHK Flat  for Sale Meena Icon, in   Sodepur ",domcache_srp_15143731,"2 Bath,Unfurnished Meena Icon is the residential project in Kolkata by G M Group. Landscaped gardens have been designed to make one feel close to nature. Meena Icon has fourth of its land dedicated for landscaping and greenery. Project has been designed to facilitate perfect living conditions with optimum light, ventilation and privacy, coupled with fresh and green surroundings, each apartment brings the joy of unhindered living.",https://www.magicbricks.com/propertyDetails/3-BHK-1110-Sq-ft-Multistorey-Apartment-FOR-Sale-Sodepur-in-Kolkata&id=4d423135313433373331,4551000,45.5 Lac,Kolkata,Sodepur,22.6996544,88.3749147,3,2,3,1110 FTK ,,Unfurnished,Sujit Gupta,GM Group,+91-98XXXXXXX06
"3 BHK Flat  for Sale Orchard Avaasa, in   Rajarhat ",domcache_srp_56406555,"2 Bath,Unfurnished In Orchard Avaasa, we offer the best living experience to its patrons. Be it the beautifully designed spacious 2 & 3 BHK apartments, the best-in-class amenities, or the location of the project itself. We know what works best in the Real Estate Vertical. A firm believer in maintaining long-term relationships, we ensure that we deliver nothing less than superior quality residential accommodation to our customers. By offering outstanding yet affordable housing options, our residential flats are one of the most sought by the city-dwellers",https://www.magicbricks.com/propertyDetails/3-BHK-1459-Sq-ft-Multistorey-Apartment-FOR-Sale-Rajarhat-in-Kolkata&id=4d423536343036353535,8024500,80.2 Lac,Kolkata,Rajarhat,22.63262,88.45768,3,2,3,1459 FTK ,,Unfurnished,Sumitra  Das,,+91-98XXXXXXX00
"2 BHK Flat  for Sale Golden Heights, in   Sonarpur ",domcache_srp_52618275,"2 Bath,Unfurnished,2 floor JG Golden Heights is only 10 min from Sonarpur Station, 20 min from Kamalgazi, and from the EM Bypass, next to the new Liver Foundation and other hospitals, schools, markets, shopping malls and multiplexes and is going to end your search for a flat near Sonarpur in South Kolkata.",https://www.magicbricks.com/propertyDetails/2-BHK-956-Sq-ft-Multistorey-Apartment-FOR-Sale-Sonarpur-in-Kolkata&id=4d423532363138323735,2963662,29.6 Lac,Kolkata,Sonarpur,,,2,2,2,956 FTK ,2,Unfurnished,Sushital Mitra Dey,,+91-90XXXXXXX53
"2 BHK Flat  for Sale Siddha Happy Ville, in   Rajarhat ",domcache_srp_54045861,"2 Bath,Unfurnished,2 floor Home is where you discover the real you. Siddha's aim is to develop high quality homes within your budget and add to your pleasant discoveries. Since its inception in 1986, Siddha has been crafting residential and commercial spaces with a difference, to make good living affordable in Kolkata and Jaipur. The work has recently spread to Bengaluru and Mumbai. Siddha's perseverance and passion for quality homes drive it forward with every new project led by Group Chairman Chandra Prakash jain and Group Managing Director Sanjay Jain, Siddha creates and sells high- quality housing in India. Siddha believes that the magic of craftmanship lies beyond the realty of construction, it is the ability to sculpt better lives by designing and crafting living spaces that sets Siddha apart.",https://www.magicbricks.com/propertyDetails/2-BHK-910-Sq-ft-Multistorey-Apartment-FOR-Sale-Rajarhat-in-Kolkata&id=4d423534303435383631,4095000,41 Lac,Kolkata,Rajarhat,22.6224,88.440371,2,2,2,910 FTK ,2,Unfurnished,Sakshi  Singhania,SPL Realco,+91-98XXXXXXX63
"2 BHK Flat  for Sale The 64 Earth Point, in   Liluah ",domcache_srp_57354921,"2 Bath,Unfurnished The 64 Earth Point is a luxurious residential project that not only offers open spaces but also provides greenery and fresh air to all residents, which helps them to stay calm even if they had a hectic day. Smart floor plan, modern design, spacious layout and latest amenities of this project allows you to live a luxurious lifestyle. Designed to offer affordable housing in Liluah, Howrah the The 64 Earth Point offers 2 BHK and 3 BHK flats that are available for sale at prices starting from Rs. 24.38 lakh There society is equipped with 4 towers and 64 spacious and well- ventilated flats.",https://www.magicbricks.com/propertyDetails/2-BHK-934-Sq-ft-Multistorey-Apartment-FOR-Sale-Liluah-in-Kolkata&id=4d423537333534393231,3316634,33.2 Lac,Kolkata,Liluah,22.618923,88.319508,2,2,2,934 FTK ,,Unfurnished,chandan,,+91-98XXXXXXX03
"2 BHK Flat  for Sale Retreat at Godrej Prakriti, in   BT Road ",domcache_srp_56609947,"2 Bath,Unfurnished Retreat at Godrej Prakriti retains Kolkata's easy natural charm while being  conveniently located on B.T. Road, connected to key localities. Home to acres of greenery, pollution free environs and reputed schools, it  is the perfect residential destination for you and your familyInfused with natural tranquility, this residential property offers a variety of residences like 1 BHK, 2 BHK and 3 BHK as per the various lifestyle preferences. With the majestic Hooghly River close by, this complex is endowed with strong breeze and spectacular views - turning your home into a perfect retreat.",https://www.magicbricks.com/propertyDetails/2-BHK-930-Sq-ft-Multistorey-Apartment-FOR-Sale-BT-Road-in-Kolkata&id=4d423536363039393437,4100000,41 Lac,Kolkata,BT Road,22.6235801,88.3788415,2,2,2,930 FTK ,,Unfurnished,Dream Weavers Realty Consultants Pvt. Ltd.,Dream Weavers Realty Consultants Pvt. Ltd.,+91-98XXXXXXX81
"2 BHK Flat  for Sale The Lake Paradise, in   Barasat ",domcache_srp_55534881,"2 Bath,Unfurnished The project offers apartments with perfect combination of contemporary architecture and features to provide comfortable living. At The Lake Paradise, the elements of lifestyle collaborate in a perfect mix to form a brilliant experience. Here, surrounded by lifestyle comforts such as a pool and gym. The property has Lake view. 30000 sq.ft. Lake of the backside of this project. The project located on NH34. Location Advantage:The project is spread over a total area of 2.65 Acres of land, It has 8 Tower,The construction is of 4 floors, Total 256 flats are there, 2/3 BHK is there.",https://www.magicbricks.com/propertyDetails/2-BHK-731-Sq-ft-Multistorey-Apartment-FOR-Sale-Barasat-in-Kolkata&id=4d423535353334383831,1830000,18.3 Lac,Kolkata,Barasat,,,2,2,2,731 FTK ,,Unfurnished,Kolkata Housing,Kolkata Housing,+91-98XXXXXXX00
"3 BHK Flat  for Sale Vinayak Vista, in   Lake Town ",domcache_srp_56740609,"2 Bath,Unfurnished Vinayak Vista is an abode that makes entering the thresholds of home seem like an escape into nature. Weekend trips to break away from a city life are no longer needed, as nature itself is now your home.",https://www.magicbricks.com/propertyDetails/3-BHK-1430-Sq-ft-Multistorey-Apartment-FOR-Sale-Lake-Town-in-Kolkata&id=4d423536373430363039,7293000,72.9 Lac,Kolkata,Lake Town,22.6036186,88.408528,3,2,3,1430 FTK ,,Unfurnished,Milan,MD Properties Pvt. Ltd.,+91-96XXXXXXX66
"1 BHK Flat  for Sale Swapno Puron, in   Amtala, Diamond Harbour Road ",domcache_srp_52582027,"1 Bath,Unfurnished,1 floor Spread over 8 Bigha approx. of land, Swapno Puron Amtala , phase -1 is the first gated community residential project in Amtala, D.H Road by prestigious and renowned developers Srijan and Star Group. Here every space embodies joy and comfort and every facility infuses a spirit of celebration. 300 plus apartments in 11 blocks, G plus 3 floors, Swapno Puron Amtala has enough green space and a splendid water body view with all modern amenities and facilities.",https://www.magicbricks.com/propertyDetails/1-BHK-319-Sq-ft-Multistorey-Apartment-FOR-Sale-Amtala-in-Kolkata&id=4d423532353832303237,880000,8.8 Lac,Kolkata,"Amtala, Diamond Harbour Road",22.3613086,88.2787705,1,1,1,319 FTK ,1,Unfurnished,Abhijit  Jana,Srijan Star Realty LLP,+91-97XXXXXXX84
"2 BHK Flat  for Sale Shovona Heights, in   Dum Dum ",domcache_srp_56056597,"2 Bath,Unfurnished,3 floor,West facing Shovona Heights is an ongoing project of Shovona Projects Private Limited. It is a 6 storey new development on Dum Dum Cossipore Road with  ground and first floor offering commercial units. This Property is still being developed. This Price indicates only Base Price including 1 Car Parking and Extra charges; Excluding GST and all Other Charges. This Price is tentative in nature and can be changed without prior notice. All photos here are only for illustration purpose. Come, visit SHOVONA HEIGHTS in DUM DUM ROAD COSSIPUR.",https://www.magicbricks.com/propertyDetails/2-BHK-796-Sq-ft-Multistorey-Apartment-FOR-Sale-Dum-Dum-in-Kolkata&id=4d423536303536353937,4935400,49.4 Lac,Kolkata,Dum Dum,22.65501,88.4318509,2,2,2,796 FTK ,3,Unfurnished,Debraj ,Shovona Projects Private Limited,+91-98XXXXXXX74
"2 BHK Flat  for Sale Kshetrum Aspire, in   Behala Chowrasta ",domcache_srp_54145469,"2 Bath,Unfurnished,3 floor Be it a wooden deck swimming pool, a fully functional community hall or a state-of-the-art gymnasium, Kshetrum Klub offers the residents world-class amenities within the premises of the project.",https://www.magicbricks.com/propertyDetails/2-BHK-1041-Sq-ft-Multistorey-Apartment-FOR-Sale-Behala-Chowrasta-in-Kolkata&id=4d423534313435343639,6812510,68.1 Lac,Kolkata,Behala Chowrasta,22.4858679091774,88.308988116587,2,2,2,1041 FTK ,3,Unfurnished,Amit  Prasad,Kshetrum Estate,+91-86XXXXXXX30
"3 BHK Flat  for Sale Rameswara Riverview, in   Barrackpore ",domcache_srp_54426303,"2 Bath,Unfurnished,2 floor Residential Apartment with well equiped modern amenities.",https://www.magicbricks.com/propertyDetails/3-BHK-1451-Sq-ft-Multistorey-Apartment-FOR-Sale-Barrackpore-in-Kolkata&id=4d423534343236333033,5218485,52.2 Lac,Kolkata,Barrackpore,22.778634,88.334833,3,2,3,1451 FTK ,2,Unfurnished,Sneha Baheti Roy,Rameswara Group,+91-98XXXXXXX57
"2 BHK Flat  for Sale Balaji Residency, in   Howrah ",domcache_srp_51525092,"2 Bath,Unfurnished Balaji Residency is in evry aspect the first if its kind dated communityin Howrah. located on 113, Beneras Road just 8 km from kolkata Esplanade and hardly a 400 mtr from Salkia Chowrasta. It is a 54 katha project that is designed to become the habitat of the privileged few.The project offers apartments with perfect combination of contemporary architecture and features to provide comfortable living.",https://www.magicbricks.com/propertyDetails/2-BHK-868-Sq-ft-Multistorey-Apartment-FOR-Sale-Howrah-in-Kolkata&id=4d423531353235303932,3732400,37.3 Lac,Kolkata,Howrah,,,2,2,2,868 FTK ,,Unfurnished,Rahul  Agarwal,Shree Balaji Constructions,+91-98XXXXXXX52
"2 BHK Flat  for Sale Southwinds, in   Rajpur Sonarpur ",domcache_srp_56619545,"2 Bath,Unfurnished Spread over 630 cottahs of land, Southwinds is Kolkatas First Micro Township on Southern bypass. It is a home that is not just a manifestation of your dreams, but beyond that. Here every space embodies joy and comfort and every facility infuses a spirit of celebration. 1325 apartments in 10 blocks Five G plus 11 floors and Five G plus 15 floors, Southwinds has enough greenery and open spaces to submerge you in peace and harmony. Feel the unrestricted tranquillity with a vast frontage. Let the world class lifestyle features pamper you. Be all set for the perfect living.",https://www.magicbricks.com/propertyDetails/2-BHK-929-Sq-ft-Multistorey-Apartment-FOR-Sale-Rajpur-Sonarpur-in-Kolkata&id=4d423536363139353435,3850000,38.5 Lac,Kolkata,Rajpur Sonarpur,22.4335,88.396785,2,2,2,929 FTK ,,Unfurnished,PROPSEEK REALTY  SOUTH,,+91-81XXXXXXX87
"2 BHK Flat  for Sale Siddha Happy Ville, in   Rajarhat ",domcache_srp_48989307,"2 Bath,Unfurnished Siddha Happyville is a large residential gated complex by the Siddha Group. Set on an expansive landscape of green fields and endless skies, it is home to residential towers that stand tall as pillars of happiness over an idyllic panorama of fun and frolic. Siddha Happyville is where the joy of family living in community harmony comes together in homes made exclusively for families that want to escape from the city's chaos and live in happiness.",https://www.magicbricks.com/propertyDetails/2-BHK-1070-Sq-ft-Multistorey-Apartment-FOR-Sale-Rajarhat-in-Kolkata&id=4d423438393839333037,5120000,51.2 Lac,Kolkata,Rajarhat,22.6224,88.440371,2,2,2,1070 FTK ,,Unfurnished,Navneet  Baheti,Purple Propshop,+91-98XXXXXXX79
"2 BHK Flat  for Sale Amaya Residences, in   Narendrapur ",domcache_srp_55329167,"2 Bath,Unfurnished A perfect dream home is the place, which urges you to return after a hard days work. Also the place you miss, even when you are holidaying at an exotic location.",https://www.magicbricks.com/propertyDetails/2-BHK-850-Sq-ft-Multistorey-Apartment-FOR-Sale-Narendrapur-in-Kolkata&id=4d423535333239313637,3699200,37 Lac,Kolkata,Narendrapur,22.436286,88.3972076,2,2,2,850 FTK ,,Unfurnished,Amaya Realty,,+91-98XXXXXXX11
"2 BHK Flat  for Sale Imperial Riddhi Siddhi, in   Diamond Harbour Road ",domcache_srp_51431634,"2 Bath,Unfurnished Situated on Diamond Harbour Road, next to IIM Calcuta and close to upcoming Joka Metro Station, the project has all the amenities one needs. It is a 5-Tower project of G+4 storeys, consisting of 148 flats on 78 Cottahs land, with all the amenities one needs for a king like living.",https://www.magicbricks.com/propertyDetails/2-BHK-765-Sq-ft-Multistorey-Apartment-FOR-Sale-Diamond-Harbour-Road-in-Kolkata&id=4d423531343331363334,2451935,24.5 Lac,Kolkata,Diamond Harbour Road,22.454821,88.298129,2,2,2,765 FTK ,,Unfurnished,Riddhi  Siddhi ,Riddhi Siddhi Group,+91-98XXXXXXX11
"3 BHK Flat  for Sale Green Heights II, in   Rajarhat ",domcache_srp_56912811,"2 Bath,Unfurnished Welcome to the evergreen lifestyle of Rajarhat. Green Heights II, spread over more than 1.63 acres is a well planned mega residential complex. It is an ensemble of luxurious lifestyle, which fulfills all your expectations of the dream home you have been looking for, at affordable price, which makes you smile.",https://www.magicbricks.com/propertyDetails/3-BHK-859-Sq-ft-Multistorey-Apartment-FOR-Sale-Rajarhat-in-Kolkata&id=4d423536393132383131,6450000,64.5 Lac,Kolkata,Rajarhat,22.6224,88.440371,3,2,3,859 FTK ,,Unfurnished,Navneet,Threshold Developments,+91-85XXXXXXX44
"2 BHK Flat  for Sale Sapnil Residency, in   BT Road ",domcache_srp_56569247,"2 Bath,Unfurnished,2 floor Sapnil Residency  by Sapnil Developers Pvt. Ltd. is an prestigious  project located at BT Road.",https://www.magicbricks.com/propertyDetails/2-BHK-934-Sq-ft-Multistorey-Apartment-FOR-Sale-BT-Road-in-Kolkata&id=4d423536353639323437,4203000,42 Lac,Kolkata,BT Road,22.6235801,88.3788415,2,2,2,934 FTK ,2,Unfurnished,Soumitra  Das,Sapnil Developers Pvt. Ltd.,+91-83XXXXXXX24
"2 BHK Flat  for Sale Sreeniketan, in   Bose Para, Purba Barisha ",domcache_srp_57234859,"2 Bath,Unfurnished,1 floor Sreeniketan is a elegant and modern  project  with all amenities beside Sakher Bajar Metro Station. It is two minutes walking distance from Diamond Harbour Road, adjacent  to nursing home, hospital, school and market.",https://www.magicbricks.com/propertyDetails/2-BHK-813-Sq-ft-Multistorey-Apartment-FOR-Sale-Bose-Para-in-Kolkata&id=4d423537323334383539,3658500,36.6 Lac,Kolkata,"Bose Para, Purba Barisha",22.4798345,88.3118879,2,2,2,813 FTK ,1,Unfurnished,Adwitiya ,Adwitiya Towers Private Limited,+91-97XXXXXXX84
"3 BHK Flat  for Sale Rishi Pranaya Phase 1, in   Rajarhat ",domcache_srp_44877055,"3 Bath,Unfurnished 'Pranaya'- the world of soulful living, endeavours to make your life an expression of who you are what you believe in,its coveted lifestyle avenues usher you to realise your hopes, dreams & desires, with every passing day. Thus allowing you to create a life, that is ever-evolving and nurtures your soulful side.",https://www.magicbricks.com/propertyDetails/3-BHK-1400-Sq-ft-Multistorey-Apartment-FOR-Sale-Rajarhat-in-Kolkata&id=4d423434383737303535,7230000,72.3 Lac,Kolkata,Rajarhat,22.6224,88.440371,3,3,3,1400 FTK ,,Unfurnished,Rishi  Pranaya,Rishi Group ,+91-98XXXXXXX84
"2 BHK Flat  for Sale Saket Induwas, in   Bhawanipur ",domcache_srp_40194597,"2 Bath,Unfurnished Saket Indubaas is the only residential apartment in this era with such a ceiling height.Very often we hear the deep concern of the buyers complaining about the prevailing low ceiling height of apartments in a multi-storeyed building. We are proud to present an excellent opportunity at ''saket indubaas'' which comes with an rare Extended ceiling height of 9.6 ft giving more space for a luxurious & lavish living for you to live the glimpses of your dreams with maximum ventilation and ample storage space as well.",https://www.magicbricks.com/propertyDetails/2-BHK-940-Sq-ft-Multistorey-Apartment-FOR-Sale-Bhawanipur-in-Kolkata&id=4d423430313934353937,7050000,70.5 Lac,Kolkata,Bhawanipur,,,2,2,2,940 FTK ,,Unfurnished,saket promoters,Saket Promoters Ltd.,+91-83XXXXXXX80
"3 BHK Flat  for Sale South City, in   Prince Anwar Shah Road ",domcache_srp_55873389,"3 Bath,Furnished,16 floor,East facing garden view",https://www.magicbricks.com/propertyDetails/3-BHK-1763-Sq-ft-Multistorey-Apartment-FOR-Sale-Prince-Anwar-Shah-Road-in-Kolkata&id=4d423535383733333839,20000000,2 Cr,Kolkata,Prince Anwar Shah Road,22.502176,88.356478,3,3,3,1763 FTK ,16,Furnished,Asim  Ray,Realty Junction,+91-76XXXXXXX68
